feature,mean_abs_shap,mo_ta
PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,0.01714493182884095,"đơn vay trước ở Home Credit: số ngày đến kỳ trả cuối theo lịch ký ban đầu (lệch nhiều so với thực tế = trả sớm/trễ), trung bình"
POS_SK_DPD_DEF_MEAN,0.016968937243837637,"khoản trả góp POS/tiền mặt: số ngày quá hạn trong tháng, bỏ qua các khoản trễ không đáng kể, trung bình"
INST_PAYMENT_PERC_MEAN,0.01690836445564444,"lịch sử trả góp: tỉ lệ thực trả trên số phải trả của kỳ (1.0 = trả đủ), trung bình"
BUREAU_CREDIT_ACTIVE_ACTIVE_COUNT,0.016089402344466458,"CIC: khoản vay đang ở trạng thái còn dư nợ, số lượng"
BUREAU_DAYS_CREDIT_MEAN,0.014245593778005433,"CIC: số ngày kể từ khi mở khoản vay ở tổ chức khác (âm = quá khứ), trung bình"
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_SUM,0.014007873609156396,"CIC: số tiền quá hạn cao nhất từng ghi nhận, tính trên khoản còn dư nợ, tổng"
CC_UTILIZATION_MEAN,0.013927053780102299,"thẻ tín dụng: tỉ lệ sử dụng hạn mức thẻ = dư nợ / hạn mức, trung bình"
INST_AMT_INSTALMENT_MEAN,0.013421317250620266,"lịch sử trả góp: số tiền phải trả theo lịch của một kỳ, trung bình"
CREDIT_INCOME_RATIO,0.013380140791825548,số tiền vay gấp bao nhiêu lần thu nhập năm
BUREAU_ACTIVE_DAYS_CREDIT_MEAN,0.009362806053215674,"CIC: số ngày kể từ khi mở khoản vay ở tổ chức khác (âm = quá khứ), tính trên khoản còn dư nợ, trung bình"
EXT_SOURCE_STD,0.00830297576987843,mức chênh lệch giữa 3 điểm tín dụng nguồn ngoài
INST_DBD_MAX,0.007642966065916433,"lịch sử trả góp: số ngày trả sớm trước hạn (0 nếu không sớm), lớn nhất"
PREV_REFUSED_APP_CREDIT_RATIO_MIN,0.006502765537341726,"đơn vay trước ở Home Credit: tỉ lệ số tiền khách xin vay trên số tiền thực được duyệt (>1 = bị cắt bớt), tính trên đơn bị từ chối, nhỏ nhất"
INST_DBD_MEAN,0.00560090353122734,"lịch sử trả góp: số ngày trả sớm trước hạn (0 nếu không sớm), trung bình"
